"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2023,1,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros","201.3"
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros","378.5"
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros","214.1"
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros","330.2"
2023,1,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros","359.6"
2023,1,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros","323.7"
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros","692.2"
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros","510.2"
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros","328.8"
2023,1,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros","332.6"
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros","216.0"
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros","171.0"
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros","186.7"
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros","273.0"
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros","217.4"
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros","370.4"
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros","197.8"
2023,1,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros","311.3"
2023,1,4,"Les Corts",19,"les Corts","Total. Milers d'euros","432.4"
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros","436.3"
2023,1,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros","865.6"
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros","283.8"
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros","696.0"
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros","1004.5"
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros","592.8"
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros","817.7"
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros","535.8"
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros","357.9"
2023,1,6,"Gràcia",29,"el Coll","Total. Milers d'euros","206.9"
2023,1,6,"Gràcia",30,"la Salut","Total. Milers d'euros","356.5"
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros","398.9"
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros","347.4"
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros","236.7"
2023,1,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros","211.8"
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros","230.6"
