Codi_Districte,Nom_Districte,Any,Estudios_Obligatorios
1,Ciutat Vella,2016,97.2
1,Ciutat Vella,2017,97.6
1,Ciutat Vella,2018,97.9
1,Ciutat Vella,2019,98.2
1,Ciutat Vella,2020,98.4
1,Ciutat Vella,2021,98.7
1,Ciutat Vella,2022,98.8
2,Eixample,2016,98.1
2,Eixample,2017,98.3
2,Eixample,2018,98.5
2,Eixample,2019,98.7
2,Eixample,2020,98.8
2,Eixample,2021,99.0
2,Eixample,2022,99.1
3,Sants-Montjuïc,2016,96.6
3,Sants-Montjuïc,2017,96.9
3,Sants-Montjuïc,2018,97.2
3,Sants-Montjuïc,2019,97.5
3,Sants-Montjuïc,2020,97.7
3,Sants-Montjuïc,2021,98.0
3,Sants-Montjuïc,2022,98.3
4,Les Corts,2016,98.1
4,Les Corts,2017,98.3
4,Les Corts,2018,98.5
4,Les Corts,2019,98.6
4,Les Corts,2020,98.8
4,Les Corts,2021,98.9
4,Les Corts,2022,99.0
5,Sarrià-SantGervasi,2016,99.2
5,Sarrià-SantGervasi,2017,99.3
5,Sarrià-SantGervasi,2018,99.3
5,Sarrià-SantGervasi,2019,99.4
5,Sarrià-SantGervasi,2020,99.5
5,Sarrià-SantGervasi,2021,99.5
5,Sarrià-SantGervasi,2022,99.6
6,Gràcia,2016,97.8
6,Gràcia,2017,98.0
6,Gràcia,2018,98.2
6,Gràcia,2019,98.4
6,Gràcia,2020,98.6
6,Gràcia,2021,98.8
6,Gràcia,2022,98.9
7,Horta-Guinardó,2016,95.6
7,Horta-Guinardó,2017,96.0
7,Horta-Guinardó,2018,96.4
7,Horta-Guinardó,2019,96.7
7,Horta-Guinardó,2020,97.0
7,Horta-Guinardó,2021,97.4
7,Horta-Guinardó,2022,97.7
8,Nou Barris,2016,94.1
8,Nou Barris,2017,94.7
8,Nou Barris,2018,95.2
8,Nou Barris,2019,95.7
8,Nou Barris,2020,96.2
8,Nou Barris,2021,96.7
8,Nou Barris,2022,97.0
9,Sant Andreu,2016,96.6
9,Sant Andreu,2017,96.9
9,Sant Andreu,2018,97.2
9,Sant Andreu,2019,97.5
9,Sant Andreu,2020,97.8
9,Sant Andreu,2021,98.1
9,Sant Andreu,2022,98.3
10,Sant Martí,2016,96.4
10,Sant Martí,2017,96.7
10,Sant Martí,2018,97.0
10,Sant Martí,2019,97.3
10,Sant Martí,2020,97.6
10,Sant Martí,2021,97.9
10,Sant Martí,2022,98.2
