Any,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Codi_Postal,ConsumResidencial
2019,1,1,Ciutat Vella,1,el Raval,8001,5547299
2019,1,1,Ciutat Vella,1,el Raval,8002,4535282
2019,1,1,Ciutat Vella,1,el Raval,8007,3115277
2019,1,1,Ciutat Vella,1,el Raval,8038,4812237
2019,1,1,Ciutat Vella,1,el Raval,8039,818276
2019,1,1,Ciutat Vella,2,el Barri Gòtic,8002,4535282
2019,1,1,Ciutat Vella,2,el Barri Gòtic,8003,6400364
2019,1,1,Ciutat Vella,2,el Barri Gòtic,8010,1918280
2019,1,1,Ciutat Vella,2,el Barri Gòtic,8039,818276
2019,1,1,Ciutat Vella,3,la Barceloneta,8003,6400364
2019,1,1,Ciutat Vella,3,la Barceloneta,8005,7809118
2019,1,1,Ciutat Vella,3,la Barceloneta,8039,818276
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8003,6400364
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8010,1918280
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8018,7130851
2019,1,2,Eixample,5,el Fort Pienc,8010,1918280
2019,1,2,Eixample,5,el Fort Pienc,8013,10964721
2019,1,2,Eixample,5,el Fort Pienc,8018,7130851
2019,1,2,Eixample,6,la Sagrada Família,8013,10964721
2019,1,2,Eixample,6,la Sagrada Família,8025,9143578
2019,1,2,Eixample,7,la Dreta de l'Eixample,8001,5547299
2019,1,2,Eixample,7,la Dreta de l'Eixample,8002,4535282
2019,1,2,Eixample,7,la Dreta de l'Eixample,8007,3115277
2019,1,2,Eixample,7,la Dreta de l'Eixample,8008,1881725
2019,1,2,Eixample,7,la Dreta de l'Eixample,8009,3138751
2019,1,2,Eixample,7,la Dreta de l'Eixample,8010,1918280
2019,1,2,Eixample,7,la Dreta de l'Eixample,8013,10964721
2019,1,2,Eixample,7,la Dreta de l'Eixample,8025,9143578
2019,1,2,Eixample,7,la Dreta de l'Eixample,8037,2679321
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8007,3115277
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8008,1881725
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8011,8635674
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8029,9593150
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8036,4222171
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,8011,8635674
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,8015,7835876
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,8029,9593150
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,8036,4222171
2019,1,2,Eixample,10,Sant Antoni,8007,3115277
2019,1,2,Eixample,10,Sant Antoni,8011,8635674
2019,1,2,Eixample,10,Sant Antoni,8015,7835876
2019,1,3,Sants-Montjuïc,11,el Poble-sec,8004,6041215
2019,1,3,Sants-Montjuïc,11,el Poble-sec,8038,4812237
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,8038,4812237
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,8039,818276
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,8040,1790656
2019,1,3,Sants-Montjuïc,13,la Marina de Port,8038,4812237
2019,1,3,Sants-Montjuïc,14,la Font de la Guatlla,8004,6041215
2019,1,3,Sants-Montjuïc,14,la Font de la Guatlla,8038,4812237
2019,1,3,Sants-Montjuïc,15,Hostafrancs,8014,8397712
2019,1,3,Sants-Montjuïc,16,la Bordeta,8014,8397712
2019,1,3,Sants-Montjuïc,17,Sants - Badal,8028,12065700
2019,1,3,Sants-Montjuïc,18,Sants,8014,8397712
2019,1,3,Sants-Montjuïc,18,Sants,8028,12065700
2019,1,3,Sants-Montjuïc,18,Sants,8029,9593150
2019,1,4,Les Corts,19,les Corts,8014,8397712
2019,1,4,Les Corts,19,les Corts,8017,6682253
2019,1,4,Les Corts,19,les Corts,8028,12065700
2019,1,4,Les Corts,19,les Corts,8029,9593150
2019,1,4,Les Corts,19,les Corts,8034,7105097
2019,1,4,Les Corts,20,la Maternitat i Sant Ramon,8028,12065700
2019,1,4,Les Corts,21,Pedralbes,8034,7105097
2019,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",8017,6682253
2019,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",8035,3981283
2019,1,5,Sarrià-Sant Gervasi,23,Sarrià,8017,6682253
2019,1,5,Sarrià-Sant Gervasi,23,Sarrià,8034,7105097
