Codi_Districte,Nom_Districte,Any,Valor
1,Ciutat Vella,1987,62.5
1,Ciutat Vella,1991,44.2
1,Ciutat Vella,1995,48.0
1,Ciutat Vella,1999,44.0
1,Ciutat Vella,2003,48.0
1,Ciutat Vella,2007,39.1
1,Ciutat Vella,2011,41.8
1,Ciutat Vella,2015,47.4
1,Ciutat Vella,2019,52.9
1,Ciutat Vella,2023,47.2
2,Eixample,1987,70.5
2,Eixample,1991,58.2
2,Eixample,1995,69.9
2,Eixample,1999,54.8
2,Eixample,2003,62.3
2,Eixample,2007,52.5
2,Eixample,2011,56.3
2,Eixample,2015,63.1
2,Eixample,2019,69.8
2,Eixample,2023,64.4
3,Sants-Monjuïc,1987,67.2
3,Sants-Monjuïc,1991,53.5
3,Sants-Monjuïc,1995,65.0
3,Sants-Monjuïc,1999,47.2
3,Sants-Monjuïc,2003,57.6
3,Sants-Monjuïc,2007,47.4
3,Sants-Monjuïc,2011,49.6
3,Sants-Monjuïc,2015,58.2
3,Sants-Monjuïc,2019,63.7
3,Sants-Monjuïc,2023,57.4
4,Les Corts,1987,71.8
4,Les Corts,1991,58.2
4,Les Corts,1995,71.7
4,Les Corts,1999,54.3
4,Les Corts,2003,62.4
4,Les Corts,2007,54.3
4,Les Corts,2011,59.0
4,Les Corts,2015,65.5
4,Les Corts,2019,72.3
4,Les Corts,2023,67.8
5,Sarrià-Sant Gervasi,1987,74.5
5,Sarrià-Sant Gervasi,1991,62.3
5,Sarrià-Sant Gervasi,1995,73.5
5,Sarrià-Sant Gervasi,1999,58.2
5,Sarrià-Sant Gervasi,2003,65.3
5,Sarrià-Sant Gervasi,2007,56.6
5,Sarrià-Sant Gervasi,2011,61.6
5,Sarrià-Sant Gervasi,2015,66.3
5,Sarrià-Sant Gervasi,2019,72.5
5,Sarrià-Sant Gervasi,2023,70.2
6,Gràcia,1987,70.4
6,Gràcia,1991,57.6
6,Gràcia,1995,69.4
6,Gràcia,1999,53.3
6,Gràcia,2003,63.1
6,Gràcia,2007,51.3
6,Gràcia,2011,55.8
6,Gràcia,2015,64.2
6,Gràcia,2019,70.8
6,Gràcia,2023,64.6
7,Horta-Guinardó,1987,67.7
7,Horta-Guinardó,1991,54.7
7,Horta-Guinardó,1995,65.4
7,Horta-Guinardó,1999,51.5
7,Horta-Guinardó,2003,57.7
7,Horta-Guinardó,2007,47.7
7,Horta-Guinardó,2011,50.7
7,Horta-Guinardó,2015,58.7
7,Horta-Guinardó,2019,63.9
7,Horta-Guinardó,2023,57.8
8,Nou Barris,1987,67.1
8,Nou Barris,1991,52.8
8,Nou Barris,1995,63.8
8,Nou Barris,1999,46.6
8,Nou Barris,2003,54.3
8,Nou Barris,2007,45.4
8,Nou Barris,2011,57.6
8,Nou Barris,2015,55.4
8,Nou Barris,2019,57.7
8,Nou Barris,2023,51.8
9,Sant Andreu,1987,69.5
9,Sant Andreu,1991,55.7
9,Sant Andreu,1995,67.1
9,Sant Andreu,1999,51.1
9,Sant Andreu,2003,59.5
9,Sant Andreu,2007,49.6
9,Sant Andreu,2011,53.0
9,Sant Andreu,2015,61.8
9,Sant Andreu,2019,66.8
9,Sant Andreu,2023,60.4
10,Sant Martí,1987,67.7
10,Sant Martí,1991,55.3
10,Sant Martí,1995,65.9
10,Sant Martí,1999,52.1
10,Sant Martí,2003,59.0
10,Sant Martí,2007,49.3
10,Sant Martí,2011,52.0
10,Sant Martí,2015,60.7
10,Sant Martí,2019,66.5
10,Sant Martí,2023,60.7
