Codi_Districte,Nom_Districte,Any,Internet
1,Ciutat Vella,2016,82.8
1,Ciutat Vella,2017,85.5
1,Ciutat Vella,2018,90.9
1,Ciutat Vella,2019,80.4
1,Ciutat Vella,2020,90.4
1,Ciutat Vella,2021,92.85
1,Ciutat Vella,2022,95.3
2,Eixample,2016,86.2
2,Eixample,2017,87.4
2,Eixample,2018,89.6
2,Eixample,2019,91.9
2,Eixample,2020,92.4
2,Eixample,2021,93.95
2,Eixample,2022,95.5
3,Sants-Montjuïc,2016,80.6
3,Sants-Montjuïc,2017,81.4
3,Sants-Montjuïc,2018,88.6
3,Sants-Montjuïc,2019,89.1
3,Sants-Montjuïc,2020,91.7
3,Sants-Montjuïc,2021,93.15
3,Sants-Montjuïc,2022,94.6
4,Les Corts,2016,83.8
4,Les Corts,2017,83.9
4,Les Corts,2018,89.1
4,Les Corts,2019,89.5
4,Les Corts,2020,91.1
4,Les Corts,2021,91.6
4,Les Corts,2022,92.1
5,Sarrià-SantGervasi,2016,88.2
5,Sarrià-SantGervasi,2017,89.4
5,Sarrià-SantGervasi,2018,92.2
5,Sarrià-SantGervasi,2019,94.7
5,Sarrià-SantGervasi,2020,92.0
5,Sarrià-SantGervasi,2021,93.9
5,Sarrià-SantGervasi,2022,95.8
6,Gràcia,2016,85.4
6,Gràcia,2017,83.7
6,Gràcia,2018,90.5
6,Gràcia,2019,93.7
6,Gràcia,2020,91.5
6,Gràcia,2021,94.25
6,Gràcia,2022,97.0
7,Horta-Guinardó,2016,76.5
7,Horta-Guinardó,2017,79.6
7,Horta-Guinardó,2018,83.6
7,Horta-Guinardó,2019,87.6
7,Horta-Guinardó,2020,89.1
7,Horta-Guinardó,2021,91.15
7,Horta-Guinardó,2022,93.2
8,Nou Barris,2016,71.5
8,Nou Barris,2017,75.6
8,Nou Barris,2018,83.5
8,Nou Barris,2019,86.9
8,Nou Barris,2020,84.9
8,Nou Barris,2021,87.65
8,Nou Barris,2022,90.4
9,Sant Andreu,2016,82.0
9,Sant Andreu,2017,81.1
9,Sant Andreu,2018,85.6
9,Sant Andreu,2019,90.3
9,Sant Andreu,2020,86.8
9,Sant Andreu,2021,90.3
9,Sant Andreu,2022,93.8
10,Sant Martí,2016,80.7
10,Sant Martí,2017,82.5
10,Sant Martí,2018,88.5
10,Sant Martí,2019,89.8
10,Sant Martí,2020,88.9
10,Sant Martí,2021,91.45
10,Sant Martí,2022,94.0
