Codi_Districte,Nom_Districte,Any,Movil
1,Ciutat Vella,2016,96.3
1,Ciutat Vella,2017,96.6
1,Ciutat Vella,2018,99.0
1,Ciutat Vella,2019,98.8
1,Ciutat Vella,2020,98.5
1,Ciutat Vella,2021,99.0
1,Ciutat Vella,2022,98.9
2,Eixample,2016,97.6
2,Eixample,2017,97.5
2,Eixample,2018,98.8
2,Eixample,2019,99.8
2,Eixample,2020,99.1
2,Eixample,2021,98.7
2,Eixample,2022,99.3
3,Sants-Montjuïc,2016,96.2
3,Sants-Montjuïc,2017,96.5
3,Sants-Montjuïc,2018,99.0
3,Sants-Montjuïc,2019,99.2
3,Sants-Montjuïc,2020,98.2
3,Sants-Montjuïc,2021,99.3
3,Sants-Montjuïc,2022,98.6
4,Les Corts,2016,96.9
4,Les Corts,2017,97.0
4,Les Corts,2018,98.0
4,Les Corts,2019,99.2
4,Les Corts,2020,98.8
4,Les Corts,2021,98.6
4,Les Corts,2022,99.3
5,Sarrià-SantGervasi,2016,97.4
5,Sarrià-SantGervasi,2017,98.3
5,Sarrià-SantGervasi,2018,99.1
5,Sarrià-SantGervasi,2019,99.8
5,Sarrià-SantGervasi,2020,98.3
5,Sarrià-SantGervasi,2021,99.8
5,Sarrià-SantGervasi,2022,99.3
6,Gràcia,2016,97.3
6,Gràcia,2017,97.4
6,Gràcia,2018,99.8
6,Gràcia,2019,99.0
6,Gràcia,2020,98.2
6,Gràcia,2021,99.4
6,Gràcia,2022,99.6
7,Horta-Guinardó,2016,97.0
7,Horta-Guinardó,2017,97.4
7,Horta-Guinardó,2018,99.6
7,Horta-Guinardó,2019,98.8
7,Horta-Guinardó,2020,98.3
7,Horta-Guinardó,2021,98.0
7,Horta-Guinardó,2022,98.9
8,Nou Barris,2016,91.2
8,Nou Barris,2017,95.9
8,Nou Barris,2018,98.8
8,Nou Barris,2019,99.2
8,Nou Barris,2020,97.1
8,Nou Barris,2021,97.9
8,Nou Barris,2022,98.5
9,Sant Andreu,2016,97.9
9,Sant Andreu,2017,97.4
9,Sant Andreu,2018,99.1
9,Sant Andreu,2019,99.7
9,Sant Andreu,2020,98.2
9,Sant Andreu,2021,98.6
9,Sant Andreu,2022,99.6
10,Sant Martí,2016,97.4
10,Sant Martí,2017,96.2
10,Sant Martí,2018,99.3
10,Sant Martí,2019,99.8
10,Sant Martí,2020,98.2
10,Sant Martí,2021,98.8
10,Sant Martí,2022,99.4
