Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Index_Turisme
2019,1,Ciutat Vella,1,el Raval,122.71857142857144
2019,1,Ciutat Vella,2,el Gòtic,334.38444444444445
2019,1,Ciutat Vella,3,la Barceloneta,208.48090909090908
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",167.40846153846152
2019,2,Eixample,5,el Fort Pienc,277.481
2019,2,Eixample,6,la Sagrada Família,264.8305882352941
2019,2,Eixample,7,la Dreta de l'Eixample,377.27344827586205
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,295.2776923076923
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,307.41700000000003
2019,2,Eixample,10,Sant Antoni,246.67083333333335
2019,3,Sants-Montjuïc,11,el Poble Sec,208.10208333333333
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,3241.03
2019,3,Sants-Montjuïc,13,la Marina de Port,306.61
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,283.9142857142857
2019,3,Sants-Montjuïc,15,Hostafrancs,262.289
2019,3,Sants-Montjuïc,16,la Bordeta,283.4607692307692
2019,3,Sants-Montjuïc,17,Sants - Badal,267.23875
2019,3,Sants-Montjuïc,18,Sants,256.75724137931036
2019,4,Les Corts,19,les Corts,376.64914285714286
2019,4,Les Corts,20,la Maternitat i Sant Ramon,358.134
2019,4,Les Corts,21,Pedralbes,514.0271428571428
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",407.76
2019,5,Sarrià-Sant Gervasi,23,Sarrià,383.875
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,445.5845454545455
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,400.76944444444445
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,452.0461290322581
2019,5,Sarrià-Sant Gervasi,27,el Putget i Farró,323.9010526315789
2019,6,Gràcia,28,Vallcarca i els Penitents,350.66727272727275
2019,6,Gràcia,29,el Coll,279.394
2019,6,Gràcia,30,la Salut,314.34499999999997
2019,6,Gràcia,31,Vila de Gràcia,237.43944444444443
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,288.3848
2019,7,Horta-Guinardó,33,el Baix Guinardó,275.39789473684215
2019,7,Horta-Guinardó,34,Can Baró,303.53000000000003
2019,7,Horta-Guinardó,35,el Guinardó,283.39279999999997
2019,7,Horta-Guinardó,36,la Font d'en Fargues,368.48
2019,7,Horta-Guinardó,37,el Carmel,271.09136363636367
2019,7,Horta-Guinardó,38,la Teixonera,295.86875
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,304.832
2019,7,Horta-Guinardó,40,Montbau,305.165
2019,7,Horta-Guinardó,41,la Vall d'Hebron,355.0625
2019,7,Horta-Guinardó,42,la Clota,278.43
2019,7,Horta-Guinardó,43,Horta,299.87666666666667
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,275.7763157894737
2019,8,Nou Barris,45,Porta,259.30333333333334
2019,8,Nou Barris,46,el Turó de la Peira,217.683
2019,8,Nou Barris,47,Can Peguera,261.385
2019,8,Nou Barris,48,la Guineueta,310.29272727272723
2019,8,Nou Barris,49,Canyelles,391.796
2019,8,Nou Barris,50,les Roquetes,277.823
2019,8,Nou Barris,51,Verdun,252.87625
2019,8,Nou Barris,52,la Prosperitat,281.435
2019,8,Nou Barris,53,la Trinitat Nova,245.35399999999998
2019,8,Nou Barris,54,Torre Baró,310.815
2019,8,Nou Barris,55,Ciutat Meridiana,247.76
2019,8,Nou Barris,56,Vallbona,314.14
2019,9,Sant Andreu,57,la Trinitat Vella,267.938
2019,9,Sant Andreu,58,Baró de Viver,275.235
2019,9,Sant Andreu,59,el Bon Pastor,400.65142857142854
2019,9,Sant Andreu,60,Sant Andreu,311.4823076923077
2019,9,Sant Andreu,61,la Sagrera,291.66999999999996
2019,9,Sant Andreu,62,el Congrés i els Indians,259.51
2019,9,Sant Andreu,63,Navas,292.4976923076923
2019,10,Sant Martí,64,Camp de l'Arpa del Clot,269.38
2019,10,Sant Martí,65,el Clot,288.20529411764704
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,305.35555555555555
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,374.158
2019,10,Sant Martí,68,el Poblenou,288.825
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,298.15999999999997
2019,10,Sant Martí,70,el Besòs i el Maresme,251.5946153846154
2019,10,Sant Martí,71,Provençals del Poblenou,315.7525
2019,10,Sant Martí,72,Sant Martí de Provençals,300.9316666666667
2019,10,Sant Martí,73,la Verneda i la Pau,314.24523809523805
2020,1,Ciutat Vella,1,el Raval,124.27761904761904
2020,1,Ciutat Vella,2,el Gòtic,327.8177777777778
2020,1,Ciutat Vella,3,la Barceloneta,205.5681818181818
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",166.77923076923076
2020,2,Eixample,5,el Fort Pienc,270.425
2020,2,Eixample,6,la Sagrada Família,259.8420588235294
2020,2,Eixample,7,la Dreta de l'Eixample,370.8303448275862
2020,2,Eixample,8,l'Antiga Esquerra de l'Eixample,289.5496153846154
2020,2,Eixample,9,la Nova Esquerra de l'Eixample,299.664
2020,2,Eixample,10,Sant Antoni,243.99291666666667
2020,3,Sants-Montjuïc,11,el Poble Sec,208.99749999999997
2020,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2436.02
2020,3,Sants-Montjuïc,13,la Marina de Port,289.6864705882353
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,285.6171428571428
2020,3,Sants-Montjuïc,15,Hostafrancs,255.94699999999997
2020,3,Sants-Montjuïc,16,la Bordeta,278.6030769230769
2020,3,Sants-Montjuïc,17,Sants - Badal,257.898125
2020,3,Sants-Montjuïc,18,Sants,250.56862068965518
2020,4,Les Corts,19,les Corts,371.13942857142854
2020,4,Les Corts,20,la Maternitat i Sant Ramon,347.778
2020,4,Les Corts,21,Pedralbes,504.8442857142857
2020,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",412.1666666666667
2020,5,Sarrià-Sant Gervasi,23,Sarrià,378.03375
2020,5,Sarrià-Sant Gervasi,24,les Tres Torres,443.18545454545455
2020,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,392.13
2020,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,438.9432258064516
2020,5,Sarrià-Sant Gervasi,27,el Putget i Farró,313.7815789473684
2020,6,Gràcia,28,Vallcarca i els Penitents,345.69363636363636
2020,6,Gràcia,29,el Coll,273.392
2020,6,Gràcia,30,la Salut,311.12199999999996
2020,6,Gràcia,31,Vila de Gràcia,238.21305555555557
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,283.1288
2020,7,Horta-Guinardó,33,el Baix Guinardó,270.23105263157896
2020,7,Horta-Guinardó,34,Can Baró,296.09714285714284
2020,7,Horta-Guinardó,35,el Guinardó,277.7448
2020,7,Horta-Guinardó,36,la Font d'en Fargues,359.4757142857143
2020,7,Horta-Guinardó,37,el Carmel,265.9381818181818
2020,7,Horta-Guinardó,38,la Teixonera,286.96625
2020,7,Horta-Guinardó,39,Sant Genís dels Agudells,293.938
2020,7,Horta-Guinardó,40,Montbau,302.34250000000003
2020,7,Horta-Guinardó,41,la Vall d'Hebron,356.595
2020,7,Horta-Guinardó,42,la Clota,270.8
2020,7,Horta-Guinardó,43,Horta,291.6595238095238
2020,8,Nou Barris,44,Vilapicina i la Torre Llobeta,270.62052631578945
2020,8,Nou Barris,45,Porta,254.88500000000002
2020,8,Nou Barris,46,el Turó de la Peira,212.346
2020,8,Nou Barris,47,Can Peguera,259.89
2020,8,Nou Barris,48,la Guineueta,307.36090909090905
2020,8,Nou Barris,49,Canyelles,385.61199999999997
2020,8,Nou Barris,50,les Roquetes,273.706
2020,8,Nou Barris,51,Verdun,247.50625
2020,8,Nou Barris,52,la Prosperitat,276.963
2020,8,Nou Barris,53,la Trinitat Nova,237.94400000000002
2020,8,Nou Barris,54,Torre Baró,318.765
2020,8,Nou Barris,55,Ciutat Meridiana,240.14
