Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario
2014,1,1,1,Ciutat Vella,1,el Raval,2813.0
2014,1,2,1,Ciutat Vella,1,el Raval,2813.0
2014,1,3,1,Ciutat Vella,1,el Raval,2813.0
2014,2,4,1,Ciutat Vella,1,el Raval,2948.8
2014,2,5,1,Ciutat Vella,1,el Raval,2948.8
2014,2,6,1,Ciutat Vella,1,el Raval,2948.8
2014,3,7,1,Ciutat Vella,1,el Raval,3007.9
2014,3,8,1,Ciutat Vella,1,el Raval,3007.9
2014,3,9,1,Ciutat Vella,1,el Raval,3007.9
2014,4,10,1,Ciutat Vella,1,el Raval,2458.6
2014,4,11,1,Ciutat Vella,1,el Raval,2458.6
2014,4,12,1,Ciutat Vella,1,el Raval,2458.6
2015,1,1,1,Ciutat Vella,1,el Raval,2813.0
2015,1,2,1,Ciutat Vella,1,el Raval,2813.0
2015,1,3,1,Ciutat Vella,1,el Raval,2813.0
2015,2,4,1,Ciutat Vella,1,el Raval,2948.8
2015,2,5,1,Ciutat Vella,1,el Raval,2948.8
2015,2,6,1,Ciutat Vella,1,el Raval,2948.8
2015,3,7,1,Ciutat Vella,1,el Raval,3007.9
2015,3,8,1,Ciutat Vella,1,el Raval,3007.9
2015,3,9,1,Ciutat Vella,1,el Raval,3007.9
2015,4,10,1,Ciutat Vella,1,el Raval,2458.6
2015,4,11,1,Ciutat Vella,1,el Raval,2458.6
2015,4,12,1,Ciutat Vella,1,el Raval,2458.6
2016,1,1,1,Ciutat Vella,1,el Raval,2813.0
2016,1,2,1,Ciutat Vella,1,el Raval,2813.0
2016,1,3,1,Ciutat Vella,1,el Raval,2813.0
2016,2,4,1,Ciutat Vella,1,el Raval,2948.8
2016,2,5,1,Ciutat Vella,1,el Raval,2948.8
2016,2,6,1,Ciutat Vella,1,el Raval,2948.8
2016,3,7,1,Ciutat Vella,1,el Raval,3007.9
2016,3,8,1,Ciutat Vella,1,el Raval,3007.9
2016,3,9,1,Ciutat Vella,1,el Raval,3007.9
2016,4,10,1,Ciutat Vella,1,el Raval,2458.6
2016,4,11,1,Ciutat Vella,1,el Raval,2458.6
2016,4,12,1,Ciutat Vella,1,el Raval,2458.6
2017,1,1,1,Ciutat Vella,1,el Raval,2819.9
2017,1,2,1,Ciutat Vella,1,el Raval,2819.9
2017,1,3,1,Ciutat Vella,1,el Raval,2819.9
2017,2,4,1,Ciutat Vella,1,el Raval,2990.0
2017,2,5,1,Ciutat Vella,1,el Raval,2990.0
2017,2,6,1,Ciutat Vella,1,el Raval,2990.0
2017,3,7,1,Ciutat Vella,1,el Raval,3419.0
2017,3,8,1,Ciutat Vella,1,el Raval,3419.0
2017,3,9,1,Ciutat Vella,1,el Raval,3419.0
