Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario,ParadosReg,Estudios_Obligatorios,ConsumResidencial,Pm25,Pm10,Participacion,AñosEspVida,Internet,Movil,Index_Turisme,m² por habitante
2014,1,1,1,Ciutat Vella,1,el Raval,2813.0,4588,,,,,41.8,80.7,,,,6.2
2014,1,2,1,Ciutat Vella,1,el Raval,2813.0,4539,,,,,41.8,80.7,,,,6.2
2014,1,3,1,Ciutat Vella,1,el Raval,2813.0,4572,,,,,41.8,80.7,,,,6.2
2014,2,4,1,Ciutat Vella,1,el Raval,2948.8,4510,,,,,41.8,80.7,,,,6.2
2014,2,5,1,Ciutat Vella,1,el Raval,2948.8,4379,,,,,41.8,80.7,,,,6.2
2014,2,6,1,Ciutat Vella,1,el Raval,2948.8,4318,,,,,41.8,80.7,,,,6.2
2014,3,7,1,Ciutat Vella,1,el Raval,3007.9,4279,,,,,41.8,80.7,,,,6.2
2014,3,8,1,Ciutat Vella,1,el Raval,3007.9,4169,,,,,41.8,80.7,,,,6.2
2014,3,9,1,Ciutat Vella,1,el Raval,3007.9,4131,,,,,41.8,80.7,,,,6.2
2014,4,10,1,Ciutat Vella,1,el Raval,2458.6,4238,,,,,41.8,80.7,,,,6.2
2014,4,11,1,Ciutat Vella,1,el Raval,2458.6,4273,,,,,41.8,80.7,,,,6.2
2014,4,12,1,Ciutat Vella,1,el Raval,2458.6,4218,,,,,41.8,80.7,,,,6.2
2014,1,1,1,Ciutat Vella,2,el Barri Gòtic,4152.9,1222,,,,,41.8,81.4,,,,6.2
2014,1,2,1,Ciutat Vella,2,el Barri Gòtic,4152.9,1223,,,,,41.8,81.4,,,,6.2
2014,1,3,1,Ciutat Vella,2,el Barri Gòtic,4152.9,1233,,,,,41.8,81.4,,,,6.2
2014,2,4,1,Ciutat Vella,2,el Barri Gòtic,3855.8,1188,,,,,41.8,81.4,,,,6.2
2014,2,5,1,Ciutat Vella,2,el Barri Gòtic,3855.8,1141,,,,,41.8,81.4,,,,6.2
2014,2,6,1,Ciutat Vella,2,el Barri Gòtic,3855.8,1095,,,,,41.8,81.4,,,,6.2
2014,3,7,1,Ciutat Vella,2,el Barri Gòtic,3612.7,1130,,,,,41.8,81.4,,,,6.2
2014,3,8,1,Ciutat Vella,2,el Barri Gòtic,3612.7,1135,,,,,41.8,81.4,,,,6.2
2014,3,9,1,Ciutat Vella,2,el Barri Gòtic,3612.7,1147,,,,,41.8,81.4,,,,6.2
2014,4,10,1,Ciutat Vella,2,el Barri Gòtic,5400.1,1152,,,,,41.8,81.4,,,,6.2
2014,4,11,1,Ciutat Vella,2,el Barri Gòtic,5400.1,1170,,,,,41.8,81.4,,,,6.2
2014,4,12,1,Ciutat Vella,2,el Barri Gòtic,5400.1,1157,,,,,41.8,81.4,,,,6.2
2014,1,1,1,Ciutat Vella,3,la Barceloneta,3927.2,1409,,,,,41.8,80.3,,,,6.2
2014,1,2,1,Ciutat Vella,3,la Barceloneta,3927.2,1393,,,,,41.8,80.3,,,,6.2
2014,1,3,1,Ciutat Vella,3,la Barceloneta,3927.2,1387,,,,,41.8,80.3,,,,6.2
2014,2,4,1,Ciutat Vella,3,la Barceloneta,4173.2,1354,,,,,41.8,80.3,,,,6.2
2014,2,5,1,Ciutat Vella,3,la Barceloneta,4173.2,1262,,,,,41.8,80.3,,,,6.2
2014,2,6,1,Ciutat Vella,3,la Barceloneta,4173.2,1250,,,,,41.8,80.3,,,,6.2
2014,3,7,1,Ciutat Vella,3,la Barceloneta,4279.4,1280,,,,,41.8,80.3,,,,6.2
2014,3,8,1,Ciutat Vella,3,la Barceloneta,4279.4,1284,,,,,41.8,80.3,,,,6.2
2014,3,9,1,Ciutat Vella,3,la Barceloneta,4279.4,1246,,,,,41.8,80.3,,,,6.2
2014,4,10,1,Ciutat Vella,3,la Barceloneta,4260.8,1266,,,,,41.8,80.3,,,,6.2
2014,4,11,1,Ciutat Vella,3,la Barceloneta,4260.8,1275,,,,,41.8,80.3,,,,6.2
2014,4,12,1,Ciutat Vella,3,la Barceloneta,4260.8,1252,,,,,41.8,80.3,,,,6.2
2014,1,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3979.2,1956,,,,,41.8,82.0,,,,6.2
2014,1,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3979.2,1933,,,,,41.8,82.0,,,,6.2
2014,1,3,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3979.2,1921,,,,,41.8,82.0,,,,6.2
2014,2,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3519.2,1876,,,,,41.8,82.0,,,,6.2
2014,2,5,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3519.2,1756,,,,,41.8,82.0,,,,6.2
2014,2,6,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3519.2,1737,,,,,41.8,82.0,,,,6.2
