Any,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,ParadosReg
2011,1,1,Ciutat Vella,1,el Raval,5034
2011,1,1,Ciutat Vella,2,el Barri Gòtic,1468
2011,1,1,Ciutat Vella,3,la Barceloneta,1463
2011,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2023
2011,1,2,Eixample,5,el Fort Pienc,1901
2011,1,2,Eixample,6,la Sagrada Família,3084
2011,1,2,Eixample,7,la Dreta de l'Eixample,2071
2011,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2400
2011,1,2,Eixample,9,la Nova Esquerra de l'Eixample,3211
2011,1,2,Eixample,10,Sant Antoni,2351
2011,1,3,Sants-Montjuïc,11,el Poble Sec,3389
2011,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,119
2011,1,3,Sants-Montjuïc,13,la Marina de Port,2216
2011,1,3,Sants-Montjuïc,14,la Font de la Guatlla,846
2011,1,3,Sants-Montjuïc,15,Hostafrancs,1041
2011,1,3,Sants-Montjuïc,16,la Bordeta,1221
2011,1,3,Sants-Montjuïc,17,Sants - Badal,1323
2011,1,3,Sants-Montjuïc,18,Sants,2505
2011,1,4,Les Corts,19,les Corts,2544
2011,1,4,Les Corts,20,la Maternitat i Sant Ramon,1309
2011,1,4,Les Corts,21,Pedralbes,319
2011,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",116
2011,1,5,Sarrià-Sant Gervasi,23,Sarrià,660
2011,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,453
2011,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,844
2011,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1692
2011,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1487
2011,1,6,Gràcia,28,Vallcarca i els Penitents,916
2011,1,6,Gràcia,29,el Coll,389
2011,1,6,Gràcia,30,la Salut,790
2011,1,6,Gràcia,31,la Vila de Gràcia,3222
2011,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2002
2011,1,7,Horta-Guinardó,33,el Baix Guinardó,1537
2011,1,7,Horta-Guinardó,34,Can Baró,567
2011,1,7,Horta-Guinardó,35,el Guinardó,2267
2011,1,7,Horta-Guinardó,36,la Font d'en Fargues,722
2011,1,7,Horta-Guinardó,37,el Carmel,2464
2011,1,7,Horta-Guinardó,38,la Teixonera,698
2011,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,413
2011,1,7,Horta-Guinardó,40,Montbau,298
2011,1,7,Horta-Guinardó,41,la Vall d'Hebron,318
2011,1,7,Horta-Guinardó,42,la Clota,22
2011,1,7,Horta-Guinardó,43,Horta,1886
2011,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1695
2011,1,8,Nou Barris,45,Porta,1689
2011,1,8,Nou Barris,46,el Turó de la Peira,1031
2011,1,8,Nou Barris,47,Can Peguera,148
2011,1,8,Nou Barris,48,la Guineueta,1265
2011,1,8,Nou Barris,49,Canyelles,617
2011,1,8,Nou Barris,50,les Roquetes,1339
2011,1,8,Nou Barris,51,Verdun,1026
2011,1,8,Nou Barris,52,la Prosperitat,1897
2011,1,8,Nou Barris,53,la Trinitat Nova,857
2011,1,8,Nou Barris,54,Torre Baró,236
2011,1,8,Nou Barris,55,Ciutat Meridiana,1232
2011,1,8,Nou Barris,56,Vallbona,143
2011,1,9,Sant Andreu,57,la Trinitat Vella,1141
2011,1,9,Sant Andreu,58,Baró de Viver,170
2011,1,9,Sant Andreu,59,el Bon Pastor,967
2011,1,9,Sant Andreu,60,Sant Andreu,3914
2011,1,9,Sant Andreu,61,la Sagrera,1884
2011,1,9,Sant Andreu,62,el Congrés i els Indians,917
2011,1,9,Sant Andreu,63,Navas,1404
2011,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,2701
2011,1,10,Sant Martí,65,el Clot,1754
2011,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,823
2011,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,572
2011,1,10,Sant Martí,68,el Poblenou,1954
